stdr_ym,sexdstn_code,agrde_code,setle_cascnt,setle_amount
202001,1,01,3489,150489282
202001,1,02,466844,20042144641
202001,1,03,1743723,94761937600
202001,1,04,1839903,112582296308
202001,1,05,790776,54161159716
202001,1,06,244189,18800467579
202001,1,07,61240,5278218384
202001,2,01,3919,154667405
202001,2,02,861300,35071475108
202001,2,03,3551678,160197981636
202001,2,04,4081481,213292681165
202001,2,05,2046740,129732558716
202001,2,06,608061,45708319101
202001,2,07,113078,9769112741
202002,1,01,3398,154596290
202002,1,02,464029,19407850397
202002,1,03,1801914,95328758437
202002,1,04,1933942,113939479814
202002,1,05,816609,53354956727
202002,1,06,250104,18342639863
202002,1,07,63133,5374655474
202002,2,01,3798,150524049
202002,2,02,892979,34215251876
202002,2,03,3898427,164616631349
202002,2,04,4535747,221886358140
202002,2,05,2186158,130457936141
202002,2,06,636293,45703727123
202002,2,07,113784,9830260152
202003,1,01,3779,147176694
202003,1,02,522216,21133754284
202003,1,03,1990434,98270436374
202003,1,04,2190125,118984120693
202003,1,05,924132,55800018392
202003,1,06,274535,18743642284
202003,1,07,69012,5580798700
202003,2,01,4102,151937290
202003,2,02,993222,36889468848
202003,2,03,4315990,173488223256
202003,2,04,5187384,238036322920
202003,2,05,2486996,139290098096
202003,2,06,711057,48648758496
202003,2,07,127475,10446254900
202004,1,01,3263,140251202
202004,1,02,490911,20028745780
202004,1,03,1872888,95236497932
202004,1,04,2079833,117703514377
202004,1,05,892230,55274576756
202004,1,06,271491,18972363586
202004,1,07,68928,5622345267
202004,2,01,3888,167625395
202004,2,02,925090,35319404030
202004,2,03,3977839,165026243496
202004,2,04,4823882,226246742522
202004,2,05,2372135,133370185518
202004,2,06,698232,47941159935
202004,2,07,125501,10258314996
202005,1,01,3432,139941237
202005,1,02,517425,21068726168
202005,1,03,1940904,98713400914
202005,1,04,2188765,120975690042
202005,1,05,932456,55927918283
202005,1,06,282340,19285362761
202005,1,07,70873,5743161871
202005,2,01,3858,154622023
202005,2,02,955466,36332534543
202005,2,03,4098260,167761416894
202005,2,04,5019044,231772815003
202005,2,05,2422850,135028204103
202005,2,06,706974,47624292579
202005,2,07,128356,10274310063
202006,1,01,3419,136576349
202006,1,02,541670,21962453542
202006,1,03,1993472,100456926839
202006,1,04,2255076,123444790476
202006,1,05,978187,57966289129
202006,1,06,295549,19698123306
202006,1,07,72329,5619322879
202006,2,01,3696,149461033
202006,2,02,1016554,39699868478
202006,2,03,4253147,178243343536
202006,2,04,5289599,245948402661
202006,2,05,2574042,142800929376
202006,2,06,740019,49154479416
202006,2,07,130273,10324167036
202007,1,01,3494,154404517
202007,1,02,560630,22828805755
202007,1,03,2042791,101998934645
202007,1,04,2309414,126355359294
202007,1,05,1011465,60113219412
202007,1,06,310789,20718902537
202007,1,07,76764,5900879747
202007,2,01,3560,142683149
202007,2,02,1045653,40722148556
202007,2,03,4324272,179767736210
202007,2,04,5418248,249195757308
202007,2,05,2684707,146923007172
202007,2,06,788960,51851867593
202007,2,07,139893,10757919088
202008,1,01,3266,118257250
202008,1,02,579573,23169717432
202008,1,03,2078458,100437602975
202008,1,04,2358933,124470636010
202008,1,05,1029486,59371088191
202008,1,06,315987,20860910543
202008,1,07,78054,5996924776
202008,2,01,3663,144156952
202008,2,02,1070657,39649976813
202008,2,03,4374065,175118011117
202008,2,04,5537352,248254437823
202008,2,05,2736452,147953120228
202008,2,06,800655,53096031308
202008,2,07,141903,11108249122
202009,1,01,3284,131839383
202009,1,02,575661,23124679925
202009,1,03,2054416,102830606715
202009,1,04,2351873,131270916617
202009,1,05,1053625,64139882177
202009,1,06,322540,22373450764
202009,1,07,81889,6504795358
202009,2,01,3352,140757041
202009,2,02,1068308,41124609341
202009,2,03,4340037,181587169547
202009,2,04,5563434,261593771039
202009,2,05,2773472,156840183700
202009,2,06,825335,56942188315
202009,2,07,151684,12313940340
202010,1,01,3191,115370711
202010,1,02,570733,22254337221
202010,1,03,2042485,99417532786
202010,1,04,2360651,126270185424
202010,1,05,1058887,61989775499
202010,1,06,324934,21963363369
202010,1,07,81650,6264199142
202010,2,01,2837,120551240
202010,2,02,1050011,40105925423
202010,2,03,4246683,176958634156
202010,2,04,5537058,255472319591
202010,2,05,2788146,153778839498
202010,2,06,824408,55418298661
202010,2,07,145181,11559021163
202011,1,01,3074,108026714
202011,1,02,579841,23455586885
202011,1,03,2088544,104125424650
202011,1,04,2437533,132322815122
202011,1,05,1096721,63482334658
202011,1,06,339375,22350792667
202011,1,07,84576,6484971130
202011,2,01,2986,131061725
202011,2,02,1088503,41801797046
202011,2,03,4373077,182160963990
202011,2,04,5744658,265585292260
202011,2,05,2912243,159175350885
202011,2,06,865507,56820274238
202011,2,07,151033,11896816420
202012,1,01,3009,130822687
202012,1,02,636272,26114664665
202012,1,03,2272404,111759735866
202012,1,04,2672917,146039604675
202012,1,05,1194011,70893271111
202012,1,06,367166,24470336285
202012,1,07,90903,7082052574
202012,2,01,3125,134167336
202012,2,02,1200775,44878051396
202012,2,03,4825273,195119768007
202012,2,04,6357764,288099668333
202012,2,05,3201625,171305216361
202012,2,06,960499,62240998658
202012,2,07,165399,13024556385
